passing_yards,passing_epa,passing_cpoe,pacr,roof,surface,temp,wind,is_home,def_tackles_solo_y,def_tackles_with_assist_y,def_tackle_assists_y,def_tackles_for_loss_y,def_tackles_for_loss_yards_y,def_fumbles_forced_y,def_sacks_y,def_sack_yards_y,def_qb_hits_y,def_interceptions_y,def_interception_yards_y,def_pass_defended_y,def_tds_y,def_fumbles_y,def_safeties_y,comp_percent,avg_time_to_throw,aggressiveness,passer_rating,expected_completion_percentage,completion_percentage_above_expectation,cumulative_avg,def_recent_avg_allowed,def_5game_avg_allowed,def_trend,def_consistency
152,1.5907520360172065,21.806308776140213,1.3571428571428572,outdoors,grass,75.0,11.0,1,36,2,32,5,15,0,1.0,8.0,5,0,0,0,0,0,0,0.8260869565217391,3.1711739130434777,4.3478260869565215,94.20289855072464,67.45565217391304,15.15304347826087,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
113,-0.3315927372285721,-1.9334077835083008,0.6686390532544378,outdoors,grass,63.0,10.0,0,31,4,22,8,30,0,3.0,18.0,7,0,0,5,0,0,0,0.6086956521739131,2.756086956521739,21.73913043478261,87.77173913043478,66.20086956521739,-5.331304347826077,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
218,10.05393822364579,10.396403358096167,1.2899408284023668,outdoors,fieldturf,67.0,3.0,1,45,5,25,6,20,1,1.0,6.0,6,0,0,4,0,0,0,0.7272727272727273,3.5310454545454544,18.181818181818183,119.12878787878788,64.47227272727272,8.25500000000001,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
178,1.3131129483738126,-4.054062428145573,0.7982062780269058,outdoors,grass,85.0,3.0,1,42,0,20,1,2,0,0.0,0.0,1,1,10,4,0,0,0,0.6129032258064516,2.7425,12.903225806451612,74.39516129032259,67.21516129032258,-5.924838709677424,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
32,-1.7699932106770575,-4.639090225100517,0.4705882352941176,closed,fieldturf,,,0,26,2,24,4,16,1,3.0,13.0,6,2,20,5,0,0,0,0.625,,,,,,114.0,114.0,114.0,0.0,79.883428127305
277,13.329884157278125,15.341458162840675,1.0653846153846154,outdoors,fieldturf,67.0,6.0,0,43,4,38,7,22,0,1.0,12.0,8,2,7,4,0,0,0,0.7428571428571429,3.0456571428571433,14.285714285714285,92.20238095238096,61.61971428571428,12.666000000000013,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
154,-15.40268957134174,-12.371582757024203,0.5724907063197026,outdoors,grass,85.0,3.0,0,29,0,32,2,13,1,1.0,12.0,5,2,0,9,0,0,0,0.5142857142857142,2.6574,8.571428571428571,48.988095238095234,64.61457142857142,-13.186,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
188,-4.065033344958763,-0.9746561447779336,1.0930232558139534,dome,matrixturf,,,0,38,2,26,3,37,1,3.0,37.0,7,1,0,4,0,0,0,0.7037037037037037,2.646333333333333,7.4074074074074066,74.30555555555557,71.2814814814815,-0.9111111111111398,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
214,-3.9408611252955135,-4.9585028392512625,0.6369047619047619,dome,sportturf,,,1,36,2,36,3,10,0,1.0,6.0,2,0,0,10,0,0,0,0.5869565217391305,2.51975,26.08695652173913,70.3804347826087,57.83760869565218,0.8580434782608677,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
176,-7.655766740974427,-1.6720025120554745,0.8262910798122066,outdoors,grass,84.0,6.0,1,43,3,29,4,15,1,1.0,10.0,5,2,16,5,0,0,0,0.625,2.827249999999999,10.0,60.0,63.66599999999999,-1.1659999999999895,205.56674477361844,203.04400554400556,204.0635481635482,-2.5227392296128905,79.883428127305
