iter	Passed	Remaining
251	9373	27822
252	9420	27815
253	9460	27785
254	9500	27755
255	9542	27731
256	9595	27741
257	9637	27717
258	9684	27708
259	9721	27667
260	9770	27664
261	9812	27638
262	9857	27623
263	9893	27583
264	9935	27556
265	9974	27523
266	10019	27505
267	10062	27485
268	10108	27468
269	10165	27485
270	10205	27452
271	10251	27438
272	10301	27432
273	10344	27410
274	10382	27371
275	10430	27362
276	10492	27385
277	10537	27365
278	10587	27361
279	10663	27420
280	10708	27401
281	10747	27363
282	10781	27316
283	10815	27266
284	10848	27217
285	10882	27168
286	10919	27127
287	10952	27075
288	10987	27030
289	11027	26997
290	11061	26950
291	11094	26901
292	11131	26861
293	11166	26815
294	11203	26775
295	11248	26752
296	11286	26715
297	11330	26692
298	11366	26647
299	11397	26593
300	11433	26550
301	11466	26501
302	11509	26474
303	11539	26420
304	11573	26372
305	11608	26328
306	11642	26281
307	11685	26254
308	11740	26254
309	11786	26234
310	11822	26192
311	11868	26172
312	11905	26130
313	11941	26089
314	11987	26067
315	12024	26027
316	12067	26000
317	12118	25989
318	12154	25947
319	12194	25913
320	12248	25908
321	12293	25884
322	12327	25838
323	12364	25797
324	12395	25745
325	12431	25702
326	12465	25654
327	12495	25601
328	12532	25560
329	12566	25513
330	12597	25462
331	12631	25414
332	12665	25369
333	12697	25318
334	12737	25284
335	12777	25249
336	12815	25211
337	12851	25170
338	12889	25132
339	12924	25088
340	12957	25041
341	12998	25008
342	13035	24968
343	13068	24921
344	13109	24888
345	13144	24844
346	13186	24815
347	13216	24762
348	13255	24726
349	13292	24686
350	13329	24646
351	13365	24605
352	13421	24600
353	13459	24560
354	13494	24517
355	13530	24476
356	13567	24436
357	13602	24392
358	13639	24353
359	13674	24310
360	13714	24275
361	13748	24230
362	13778	24178
363	13811	24132
364	13853	24100
365	13890	24060
366	13931	24028
367	13963	23981
368	14000	23941
369	14034	23897
370	14073	23861
371	14115	23829
372	14154	23792
373	14194	23758
374	14231	23719
375	14270	23683
376	14307	23642
377	14353	23618
378	14394	23586
379	14432	23548
380	14478	23522
381	14514	23481
382	14559	23454
383	14594	23411
384	14629	23368
385	14663	23325
386	14701	23287
387	14745	23258
388	14777	23210
389	14815	23173
390	14849	23128
391	14893	23100
392	14933	23065
393	14971	23027
394	15006	22984
395	15046	22950
396	15090	22920
397	15129	22883
398	15171	22852
399	15211	22817
400	15257	22790
401	15293	22749
402	15335	22717
403	15370	22674
404	15409	22638
405	15450	22604
406	15492	22572
407	15530	22535
408	15565	22492
409	15608	22461
410	15644	22420
411	15685	22386
412	15720	22344
413	15754	22299
414	15793	22263
415	15831	22224
416	15864	22180
417	15899	22137
418	15937	22099
419	15975	22060
420	16008	22015
421	16041	21971
422	16076	21928
423	16119	21898
424	16154	21855
425	16187	21811
426	16228	21777
427	16267	21740
428	16301	21697
429	16337	21656
430	16368	21609
431	16405	21570
432	16441	21530
433	16483	21496
434	16523	21461
435	16558	21419
436	16595	21381
437	16639	21350
438	16675	21309
439	16710	21267
440	16743	21223
441	16777	21180
442	16807	21132
443	16843	21091
444	16875	21047
445	16909	21004
446	16947	20966
447	16979	20921
448	17017	20883
449	17051	20841
450	17087	20800
451	17125	20762
452	17166	20728
453	17205	20691
454	17237	20646
455	17273	20607
456	17315	20574
457	17352	20535
458	17388	20494
459	17427	20458
460	17464	20419
461	17497	20375
462	17531	20333
463	17560	20285
464	17597	20246
465	17633	20206
466	17665	20162
467	17700	20120
468	17733	20078
469	17764	20032
470	17802	19994
471	17838	19954
472	17877	19918
473	17917	19882
474	17948	19837
475	17989	19803
476	18025	19763
477	18058	19721
478	18093	19680
479	18131	19642
480	18166	19601
481	18202	19561
482	18237	19521
483	18274	19483
484	18320	19453
485	18352	19409
486	18385	19367
487	18425	19331
488	18461	19292
489	18496	19251
490	18531	19211
491	18567	19171
492	18607	19136
493	18646	19099
494	18688	19066
495	18732	19034
496	18783	19010
497	18822	18973
498	18860	18936
499	18898	18898
500	18940	18864
501	18975	18824
502	19012	18785
503	19046	18744
504	19087	18709
505	19130	18677
506	19167	18638
507	19203	18598
508	19236	18556
509	19272	18516
510	19307	18476
511	19342	18436
512	19376	18394
513	19408	18351
514	19439	18307
515	19476	18269
516	19512	18229
517	19546	18187
518	19584	18150
519	19622	18113
520	19655	18071
521	19694	18033
522	19725	17990
523	19759	17949
524	19796	17910
525	19830	17870
526	19864	17829
527	19897	17787
528	19931	17746
529	19963	17703
530	19995	17660
531	20030	17620
532	20067	17582
533	20109	17548
534	20140	17505
535	20172	17462
536	20210	17425
537	20245	17385
538	20281	17346
539	20315	17305
540	20359	17273
541	20404	17242
542	20447	17208
543	20480	17167
544	20512	17125
545	20550	17087
546	20585	17048
547	20616	17004
548	20652	16966
549	20687	16926
550	20723	16887
551	20761	16850
552	20797	16810
553	20839	16776
554	20872	16735
555	20910	16698
556	20954	16665
557	20992	16628
558	21026	16588
559	21065	16551
560	21104	16515
561	21150	16483
562	21196	16452
563	21233	16414
564	21274	16379
565	21308	16338
566	21345	16301
567	21379	16260
568	21417	16223
569	21460	16189
570	21495	16149
571	21533	16112
572	21569	16073
573	21605	16034
574	21639	15994
575	21674	15954
576	21713	15917
577	21747	15877
578	21783	15838
579	21822	15802
580	21859	15764
581	21895	15725
582	21930	15686
583	21965	15646
584	21998	15605
585	22039	15570
586	22080	15535
587	22128	15505
588	22168	15469
589	22209	15433
590	22245	15395
591	22281	15355
592	22319	15318
593	22354	15279
594	22392	15242
595	22427	15202
596	22458	15160
597	22492	15120
598	22527	15081
599	22563	15042
600	22600	15004
601	22636	14965
602	22673	14927
603	22716	14893
604	22761	14860
605	22800	14824
606	22841	14788
607	22880	14752
608	22917	14714
609	22954	14676
610	22989	14636
611	23019	14593
612	23055	14555
613	23096	14520
614	23130	14480
615	23161	14438
616	23199	14401
617	23243	14367
618	23280	14329
619	23315	14289
620	23350	14250
621	23382	14209
622	23422	14173
623	23459	14135
624	23496	14097
625	23535	14061
626	23572	14022
627	23605	13982
628	23638	13942
629	23668	13900
630	23701	13860
631	23746	13827
632	23778	13786
633	23821	13752
634	23857	13713
635	23893	13674
636	23930	13637
637	23971	13601
638	24003	13560
639	24035	13520
640	24074	13482
641	24108	13443
642	24151	13409
643	24184	13368
644	24216	13328
645	24255	13291
646	24293	13254
647	24327	13215
648	24362	13175
649	24396	13136
650	24434	13099
651	24466	13058
652	24499	13018
653	24534	12980
654	24567	12940
655	24600	12900
656	24633	12860
657	24671	12823
658	24711	12786
659	24740	12745
660	24779	12708
661	24816	12670
662	24848	12630
663	24882	12591
664	24917	12552
665	24950	12512
666	24984	12473
667	25018	12434
668	25048	12393
669	25084	12355
670	25118	12315
671	25150	12275
672	25186	12237
673	25224	12200
674	25253	12159
675	25292	12122
676	25323	12081
677	25360	12044
678	25392	12004
679	25424	11964
680	25461	11926
681	25492	11886
682	25527	11848
683	25563	11809
684	25601	11773
685	25638	11735
686	25672	11696
687	25703	11656
688	25734	11616
689	25767	11576
690	25805	11539
691	25846	11504
692	25880	11465
693	25914	11426
694	25946	11386
695	25982	11348
696	26018	11310
697	26055	11273
698	26087	11233
699	26133	11199
700	26165	11160
701	26203	11123
702	26243	11087
703	26280	11049
704	26317	11012
705	26352	10973
706	26387	10935
707	26420	10896
708	26457	10859
709	26495	10822
710	26532	10784
711	26568	10746
712	26609	10710
713	26652	10676
714	26689	10638
715	26722	10599
716	26760	10562
717	26796	10524
718	26840	10489
719	26872	10450
720	26906	10411
721	26940	10373
722	26975	10335
723	27009	10296
724	27045	10258
725	27079	10219
726	27113	10181
727	27151	10144
728	27190	10107
729	27223	10069
730	27255	10029
731	27287	9990
732	27320	9951
733	27356	9913
734	27389	9875
735	27422	9836
736	27457	9798
737	27490	9759
738	27530	9723
739	27568	9686
740	27605	9648
741	27642	9611
742	27676	9573
743	27711	9535
744	27749	9498
745	27783	9459
746	27824	9423
747	27860	9385
748	27903	9350
749	27938	9312
750	27974	9275
751	28006	9236
752	28043	9198
753	28083	9162
754	28120	9125
755	28159	9088
756	28194	9050
757	28236	9014
758	28274	8977
759	28309	8939
760	28342	8901
761	28374	8862
762	28416	8826
763	28453	8789
764	28491	8752
765	28526	8714
766	28560	8676
767	28596	8638
768	28629	8600
769	28660	8561
770	28696	8523
771	28732	8485
772	28768	8448
773	28805	8410
774	28838	8372
775	28871	8334
776	28906	8296
777	28939	8257
778	28973	8219
779	29002	8180
780	29040	8143
781	29075	8105
782	29111	8067
783	29146	8030
784	29185	7993
785	29223	7956
786	29264	7920
787	29299	7882
788	29335	7845
789	29376	7808
790	29410	7770
791	29443	7732
792	29482	7695
793	29517	7658
794	29550	7619
795	29585	7582
796	29614	7543
797	29641	7503
798	29683	7467
799	29716	7429
800	29747	7390
801	29780	7352
802	29816	7314
803	29850	7276
804	29883	7238
805	29915	7200
806	29949	7162
807	29981	7124
808	30020	7087
809	30057	7050
810	30090	7012
811	30125	6974
812	30162	6937
813	30196	6899
814	30229	6861
815	30262	6823
816	30297	6786
817	30332	6748
818	30365	6710
819	30398	6672
820	30433	6635
821	30471	6598
822	30507	6561
823	30544	6524
824	30579	6486
825	30616	6449
826	30653	6412
827	30684	6373
828	30720	6336
829	30761	6300
830	30794	6262
831	30834	6226
832	30865	6187
833	30903	6151
834	30938	6113
835	30971	6075
836	31004	6037
837	31039	6000
838	31071	5962
839	31108	5925
840	31143	5888
841	31176	5850
842	31213	5813
843	31248	5775
844	31282	5738
845	31317	5700
846	31346	5662
847	31387	5626
848	31426	5589
849	31465	5552
850	31497	5514
851	31541	5479
852	31574	5441
853	31606	5403
854	31643	5366
855	31678	5329
856	31709	5291
857	31741	5253
858	31775	5215
859	31811	5178
860	31849	5141
861	31887	5104
862	31925	5068
863	31963	5031
864	32002	4994
865	32042	4958
866	32077	4920
867	32111	4883
868	32153	4847
869	32193	4810
870	32227	4773
871	32263	4735
872	32297	4698
873	32331	4661
874	32366	4623
875	32409	4587
876	32448	4550
877	32483	4513
878	32526	4477
879	32562	4440
880	32603	4403
881	32647	4367
882	32682	4330
883	32719	4293
884	32764	4257
885	32798	4220
886	32833	4182
887	32868	4145
888	32905	4108
889	32939	4071
890	32978	4034
891	33013	3997
892	33048	3959
893	33086	3923
894	33125	3886
895	33159	3848
896	33194	3811
897	33231	3774
898	33266	3737
899	33300	3700
900	33341	3663
901	33382	3626
902	33420	3590
903	33460	3553
904	33495	3516
905	33530	3478
906	33565	3441
907	33598	3404
908	33636	3367
909	33676	3330
910	33718	3294
911	33753	3256
912	33793	3220
913	33831	3183
914	33869	3146
915	33910	3109
916	33947	3072
917	33992	3036
918	34033	2999
919	34072	2962
920	34108	2925
921	34142	2888
922	34177	2851
923	34216	2814
924	34251	2777
925	34283	2739
926	34317	2702
927	34354	2665
928	34389	2628
929	34429	2591
930	34466	2554
931	34504	2517
932	34535	2480
933	34569	2442
934	34599	2405
935	34635	2368
936	34671	2331
937	34702	2293
938	34736	2256
939	34773	2219
940	34804	2182
941	34841	2145
942	34877	2108
943	34917	2071
944	34989	2036
945	35028	1999
946	35067	1962
947	35105	1925
948	35139	1888
949	35177	1851
950	35213	1814
951	35254	1777
952	35285	1740
953	35320	1703
954	35352	1665
955	35389	1628
956	35423	1591
957	35455	1554
958	35493	1517
959	35526	1480
960	35565	1443
961	35601	1406
962	35636	1369
963	35677	1332
964	35714	1295
965	35753	1258
966	35786	1221
967	35823	1184
968	35854	1147
969	35885	1109
970	35917	1072
971	35954	1035
972	35989	998
973	36028	961
974	36066	924
975	36104	887
976	36139	850
977	36177	813
978	36216	776
979	36249	739
980	36288	702
981	36323	665
982	36355	628
983	36396	591
984	36430	554
985	36465	517
986	36502	480
987	36535	443
988	36577	406
989	36611	369
990	36646	332
991	36683	295
992	36722	258
993	36757	221
994	36795	184
995	36831	147
996	36869	110
997	36904	73
998	36936	36
999	36967	0
