iter	RMSE
523	7.515265203
524	7.515231565
525	7.515210263
526	7.515186513
527	7.515164856
528	7.515146539
529	7.515112975
530	7.515097143
531	7.515074624
532	7.515027969
533	7.515011697
534	7.514981128
535	7.514952585
536	7.514933541
537	7.514914808
538	7.514894199
539	7.514867799
540	7.514845127
541	7.514822643
542	7.514801787
543	7.514761386
544	7.514730174
545	7.514709375
546	7.514672897
547	7.514638557
548	7.514621182
549	7.514599689
550	7.51456834
551	7.514545747
552	7.514531191
553	7.514516217
554	7.514486763
555	7.51446595
556	7.514445335
557	7.514420823
558	7.514394852
559	7.514379178
560	7.514359605
561	7.514334288
562	7.514317218
563	7.514291566
564	7.514274426
565	7.514252404
566	7.514227545
567	7.514200307
568	7.514178543
569	7.51415351
570	7.514124329
571	7.51410718
572	7.514085182
573	7.514065188
574	7.514039934
575	7.5140221
576	7.513991078
577	7.513977157
578	7.513958735
579	7.513935936
580	7.513920602
581	7.513903258
582	7.513871184
583	7.513849606
584	7.51382654
585	7.513808131
586	7.513789141
587	7.513776107
588	7.513759362
589	7.51373729
590	7.513719445
591	7.513699758
592	7.513675541
593	7.513653376
594	7.513637294
595	7.51361644
596	7.513599162
597	7.513579766
598	7.513554638
599	7.513540289
600	7.513529706
601	7.513517884
602	7.513494544
603	7.513457283
604	7.513431877
605	7.513412504
606	7.513395951
607	7.513375057
608	7.513357309
609	7.513329216
610	7.513302573
611	7.513273244
612	7.513255573
613	7.513233138
614	7.513219033
615	7.513200112
616	7.513176236
617	7.513159589
618	7.513134306
619	7.513110269
620	7.513086888
621	7.513068308
622	7.513050152
623	7.513031708
624	7.513018262
625	7.513004299
626	7.512985436
627	7.512966245
628	7.512956013
629	7.512934823
630	7.512914758
631	7.512898876
632	7.512886648
633	7.512862138
634	7.512842389
635	7.512828861
636	7.512803934
637	7.512783029
638	7.512761484
639	7.512735363
640	7.512718761
641	7.512697457
642	7.512682253
643	7.512668667
644	7.512638238
645	7.512627802
646	7.512609458
647	7.512589032
648	7.512574184
649	7.512556821
650	7.512539475
651	7.512527464
652	7.512517819
653	7.512497984
654	7.512475255
655	7.512458548
656	7.51243865
657	7.512420968
658	7.512397493
659	7.512383268
660	7.512364885
661	7.512337971
662	7.512320095
663	7.51230863
664	7.512287638
665	7.512270842
666	7.512255164
667	7.512244202
668	7.512229431
669	7.51221816
670	7.512201803
671	7.512181393
672	7.512165377
673	7.512152175
674	7.512132146
675	7.512113875
676	7.512093114
677	7.51208429
678	7.512074478
679	7.512063742
680	7.512043352
681	7.512028668
682	7.512017993
683	7.511999866
684	7.511987709
685	7.511966512
686	7.511944094
687	7.511928077
688	7.511906905
689	7.511888143
690	7.511870345
691	7.51185877
692	7.511838041
693	7.511822324
694	7.511809717
695	7.511791776
696	7.511772768
697	7.511750799
698	7.511738712
699	7.511726595
700	7.511706764
701	7.511694762
702	7.511677644
703	7.511655699
704	7.511636244
705	7.511619987
706	7.511604748
707	7.511593431
708	7.511582734
709	7.511565063
710	7.511554707
711	7.511539682
712	7.51152905
713	7.51151692
714	7.511502699
715	7.511489676
716	7.511466968
717	7.511450917
718	7.511429397
719	7.511412553
720	7.511400984
721	7.511384922
722	7.51137001
723	7.511348795
724	7.511331147
725	7.511309769
726	7.511299912
727	7.511284853
728	7.511269321
729	7.511249549
730	7.511234441
731	7.511221468
732	7.511200375
733	7.511188384
734	7.511165932
735	7.511152715
736	7.511133252
737	7.511120311
738	7.511101377
739	7.511080851
740	7.51106449
741	7.511058938
742	7.511046858
743	7.51102934
744	7.511014232
745	7.510993276
746	7.510980534
747	7.510960992
748	7.510952204
749	7.510932614
750	7.510913533
751	7.510904681
752	7.51088168
753	7.510871493
754	7.510855897
755	7.510843176
756	7.510827233
757	7.510818324
758	7.510809818
759	7.510794271
760	7.510780982
761	7.510764994
762	7.510753529
763	7.510738309
764	7.510726107
765	7.510716921
766	7.510705748
767	7.510696315
768	7.510684966
769	7.510675582
770	7.510650846
771	7.510635626
772	7.510620404
773	7.510605819
774	7.510591825
775	7.510572628
776	7.510556468
777	7.510536466
778	7.510523294
779	7.510514033
780	7.510498616
781	7.510482762
782	7.510469015
783	7.510461402
784	7.510450645
785	7.510438102
786	7.510422412
787	7.510406446
788	7.510396454
789	7.510384135
790	7.510375116
791	7.51035392
792	7.510336911
793	7.510320972
794	7.510304969
795	7.510287462
796	7.510268861
797	7.51025788
798	7.510238471
799	7.510228294
800	7.510212648
801	7.510203384
802	7.510192579
803	7.510177574
804	7.510163421
805	7.510151349
806	7.510137604
807	7.510123791
808	7.510109299
809	7.510091617
810	7.51008091
811	7.510073035
812	7.510061173
813	7.510049571
814	7.510032106
815	7.51002142
816	7.510008144
817	7.509988832
818	7.509973073
819	7.50996052
820	7.509945215
821	7.509925752
822	7.509914987
823	7.509902974
824	7.509887773
825	7.509877559
826	7.509868633
827	7.509856383
828	7.509840452
829	7.509821294
830	7.509814812
831	7.5098027
832	7.509789645
833	7.509778616
834	7.509756787
835	7.509741327
836	7.509728052
837	7.509715167
838	7.509699991
839	7.509692234
840	7.509679224
841	7.509666442
842	7.509655064
843	7.509645587
844	7.509637791
845	7.509625309
846	7.509615252
847	7.509604172
848	7.50959632
849	7.509582658
850	7.509574317
851	7.509560634
852	7.509544629
853	7.509533464
854	7.509520545
855	7.509506499
856	7.509495668
857	7.509485597
858	7.509477827
859	7.509462506
860	7.509453585
861	7.509442038
862	7.509427989
863	7.509418299
864	7.509403868
865	7.509393468
866	7.509381279
867	7.50936861
868	7.509357124
869	7.509349501
870	7.509335269
871	7.509323396
872	7.509312267
873	7.509302701
874	7.50929129
875	7.509276147
876	7.509267217
877	7.509253422
878	7.509241518
879	7.509231288
880	7.509216678
881	7.50920679
882	7.509194397
883	7.50918283
884	7.509171778
885	7.509162936
886	7.50915162
887	7.509141668
888	7.509129152
889	7.509119397
890	7.509104361
891	7.50909417
892	7.509084663
893	7.509066448
894	7.509056301
895	7.509046037
896	7.509036791
897	7.509020888
898	7.509009971
899	7.508999065
900	7.508983958
901	7.508969626
902	7.508957158
903	7.508944531
904	7.508935859
905	7.508929481
906	7.508921679
907	7.5089094
908	7.508896224
909	7.508884653
910	7.508872613
911	7.508865533
912	7.508853318
913	7.508838318
914	7.50883304
915	7.50882284
916	7.508808129
917	7.508798456
918	7.508785578
919	7.508770985
920	7.508762964
921	7.508754406
922	7.508742033
923	7.508732405
924	7.508715431
925	7.508705749
926	7.508692576
927	7.508681268
928	7.508669297
929	7.508661044
930	7.508650297
931	7.508640287
932	7.508627499
933	7.508611473
934	7.508598042
935	7.508581919
936	7.508572442
937	7.508559215
938	7.508544268
939	7.508531656
940	7.508521951
941	7.50850417
942	7.508485377
943	7.508478545
944	7.508463796
945	7.50845498
946	7.508449915
947	7.508441715
948	7.508428415
949	7.508423023
950	7.508411389
951	7.508400734
952	7.508387071
953	7.508379603
954	7.508364796
955	7.508348141
956	7.508337259
957	7.508329353
958	7.50831439
959	7.508302365
960	7.508292835
961	7.508276877
962	7.508265189
963	7.508253584
964	7.508241052
965	7.508223519
966	7.508215746
967	7.508208998
968	7.508197543
969	7.508190929
970	7.508181581
971	7.508168082
972	7.508161371
973	7.508154817
974	7.508139347
975	7.508128625
976	7.508116566
977	7.508109888
978	7.508097487
979	7.508088633
980	7.508081503
981	7.508072088
982	7.508064718
983	7.508051184
984	7.508039854
985	7.508028562
986	7.508018091
987	7.508010781
988	7.507997332
989	7.507991505
990	7.507978363
991	7.507967473
992	7.507953953
993	7.507943351
994	7.507928685
995	7.507924303
996	7.50791388
997	7.507904643
998	7.507891638
999	7.50787914
